name,team,position,week,outlook
Jayden Reed,Packers,WR,6,"Jayden Reed will look to continue his hot streak as the Packers host the Cardinals in Week 6. He salvaged his performance against the Rams in Week 5 with a big play, hauling in a 53-yard deep ball on Green Bay's second possession. He finished the day with just four catches for 78 yards on six targets, though, in addition to two carries for 19 yards. Aside from Week 2, which was Malik Willis' first start, Reed has displayed a six-target floor this season. Reed's pathway to the No. 1 role in Green Bay has been unorthodox, as he lacks both the prototypical size and target volume for such a role, but his versatility and big-play ability make him an instrumental offensive weapon for QB Jordan Love. Reed figures to benefit from fellow starter Romeo Doubs rejoining the lineup versus Arizona."
Darnell Mooney,Falcons,WR,6,"Darnell Mooney and the Falcons travel to Carolina in Week 6 looking to build on last week's huge passing game. Mooney turned a team-leading 16 targets into nine catches for 105 yards and two scores in Atlanta's Week 5 overtime win against the Buccaneers. He won't see near that many targets this week. The Falcons aren't likely to throw 58 times again and Mooney's previous season high was eight targets. It's possible he approaches that number again, though, as the weak Panthers defense is bottom 10 in most receiving stats vs. wide receivers this season."
DK Metcalf,Seahawks,WR,6,"DK Metcalf had a modest performance compared to his usual standards, catching four of his seven targets for 55 yards. Metcalf played on every offensive snap for Seattle, and he should continue to operate as Seattle's top receiving option moving forward. Metcalf is averaging over eight targets per game, and his 421 receiving yards are fourth best in the league. In Week 6, the Seahawks host the 49ers. San Francisco's passing defense is 12th best in the league this season, allowing 197 yards per game."
Rico Dowdle,Cowboys,RB,6,"Rico Dowdle finally had his breakout performance for the Cowboys. Dowdle racked up over 100 scrimmage yards in Sunday's win over the Steelers. Dowdle rushed 20 times for 87 yards, while also catching two balls for 27 yards and a touchdown out of the backfield. While fellow running back Ezekiel Elliott did have six carries, he managed just 17 yards, and thus any notion of a timeshare can likely be put to bed. Dowdle has also scored in back-to-back games. In Week 6, Dowdle will face a stout Lions run defense. Detroit is allowing just 90.8 rushing yards per clash, which is third in the NFL."
Stefon Diggs,Texans,WR,6,"Stefon Diggs could find himself atop Houston's WR depth chart in Week 6 against the Patriots if Nico Collins (hamstring) doesn't play. Diggs' 41 targets are only four shy of Collins' season total, but Diggs is averaging only 7.7 yards per target compared to Collins' 12.6, as Diggs is best utilized underneath at this stage of his career. An expected uptick in volume would push Diggs into the fringe fantasy WR1 range should Collins sit, but Diggs would remain a low-end WR2 otherwise in Week 6 against a Patriots defense that's allowing 164.2 receiving yards per game to WRs."
Diontae Johnson,Panthers,WR,6,"Diontae Johnson hopes to rebound Week 6 against the Falcons from a disappointing performance last week. Johnson caught only three of six targets for 23 yards in a forgettable Week 5 game against the Bears. Andy Dalton was so ineffective, he was replaced late in the game by Bryce Young. Dalton will start this week, and the Falcons are only middle of the road against fantasy wide receivers, so perhaps Johnson can get back on track after totaling 15 receptions, 205 yards and two touchdowns the previous two weeks."
DJ Moore,Bears,WR,6,"DJ Moore will continue to lead Chicago's receiving corps as the team prepares for an international Week 6 matchup against the Jaguars. The star wide receiver paved the way for the best game of rookie quarterback Caleb Williams' career versus Carolina in Week 5, securing five of eight targets for 105 yards and two touchdowns. The clear No. 1 receiving option for the Bears set a new season-high mark in terms of receiving yards and now has three scores in his last two appearances. He'll look to continue demonstrating exceptional chemistry with Williams versus a beatable Jaguars secondary, with Keenan Allen and Rome Odunze also working in three-wide sets."
Tee Higgins,Bengals,WR,6,"Tee Higgins has operated as Cincinnati's top target earner since returning to full health, as he's recorded 24 combined targets across the last two weeks. In contrast to teammate Ja'Marr Chase, Higgins has been limited primarily to short gains as he has yet to log a reception of at least 20 yards on any of his 18 catches this season. Higgins relies on continued volume and touchdowns in a Week 6 matchup against the Giants, a team that has surprisingly been nearly exactly league average in terms of fantasy points allowed to opposing wide receivers. Higgins projects a WR2/WR3 option."
Marvin Harrison Jr.,Cardinals,WR,6,"Marvin Harrison ranked second on Arizona with seven targets, but he only recorded two receptions for 36 yards over the weekend. Harrison's catch rate is below 50 percent in his rookie campaign, which is well below the league average. While Harrison needs to improve his efficiency, he continues to lead Arizona's wide receivers in snaps and routes run. He stands to continue to be targeted heavily by Kyler Murray in Arizona's Week 6 matchup against the Packers. Green Bay has allowed 232 passing yards per game this season, ranking 23rd in the league."
Chris Godwin,Buccaneers,WR,6,"Chris Godwin caught five of his six targets for 64 yards in Week 5. This was a season low in targets and receptions for Godwin, but he continued to lead the Buccaneers wide receivers in snaps, and his low target volume can be attributed to the fact that Baker Mayfield only attempted 24 total passing attempts. Mayfield should continue to target Godwin heavily moving forward, and Tampa Bay's Week 6 matchup against the Saints should be a favorable one. New Orleans has the league's 24th ranked passing defense this season, allowing 234 passing yards per game."
George Kittle,49ers,TE,6,"Kittle tied Brandon Aiyuk for the most targets last weekend, catching eight of his 12 targets for 64 receiving yards and a touchdown. It was Kittle's third straight start with a touchdown reception. Kittle ranks third among tight ends earning 7.3 targets per game this season, and his 56 receiving yards per game ranks fourth overall at the position. He has a solid matchup in Week 6, where the 49ers take on the Seahawks. Seattle has allowed 286 receiving yards to tight ends this season, fourth most in the league."
Antonio Gibson,Patriots,RB,6,"Despite starting over Rhamondre Stevenson, Antonio Gibson garnered seven touches and a 47% snap share for the Patriots in Week 5, Gibson was efficient, gaining 56 yards, but the Patriots offense remains among the slowest and least potent in the league. Week 6's home matchup with a Texans' defense allowing a generous 4.8 yards per carry is intriguing, but a lack of volume limits Gibson to a fringe flex option."
Alexander Mattison,Raiders,RB,6,"Alexander Mattison got the start in Week 5 with Zamir White sidelined due to a groin injury, but he did little with the opportunity. Mattison gained just 38 rushing yards on 15 carries, although he did turn three targets into two catches for 23 yards. Neither back has seen much success on the ground behind the Raiders' shaky offensive line, and the entire offense could be about to undergo a severe shakeup with Davante Adams on the trade block, and Gardner Minshew potentially set to be replaced at quarterback by Aidan O'Connell. Even if White sits again, that turmoil won't do Mattison any favors in Week 6 against a Steelers defense that ranks in the top five in yards per carry allowed and rushing yards per game allowed."
Tank Dell,Texans,WR,6,"Tank Dell is averaging just 34.3 receiving yards per game this season, but at least he suited up without limitations for the Texans in Week 5 after missing Week 4 due to a chest injury. He has a chance to break out in Week 6 against the Patriots, especially if the Texans are without top WR Nico Collins (hamstring), as Collins and Stefon Diggs each have over 40 targets while Dell has been limited to 21 targets as Houston's No. 3 wideout. New England's giving up 164.2 yards per game to WRs, so Dell's a high-end fantasy WR3 if Collins sits, or a passable flex play otherwise."
Zay Flowers,Ravens,WR,6,"In his three games with double-digit targets this season, Zay Flowers has combined to record 20 catches for 309 yards and a touchdown. However, the Baltimore offense still runs through its ground game, resulting in Flowers virtually disappearing in some weeks. A Week 6 matchup against the Commanders shapes up to be a potentially high-scoring affair, making Flowers a reasonable WR2 -- but with a significant risk of disappointing."
Mike Evans,Buccaneers,WR,6,"Mike Evans caught five of his seven targets for 62 yards and two touchdowns in Week 5. Evans is now up to five touchdown receptions on the season, and the veteran also has a strong 23.7 percent target share. Evans will look to continue his solid start to the season in Week 6 as Tampa Bay faces off against the Saints. New Orleans has the league's 24th ranked passing defense this season, allowing 234 passing yards per game."
Chase Brown,Bengals,RB,6,"In Week 5, Chase Brown earned double-digit carries for the second consecutive game and has moved into an even split for work with Zack Moss. However, he could get a chance to serve as a true lead back in a Week 6 matchup against the Giants, pending the health of Moss after he suffered an ankle injury late in Cincinnati's Week 5 loss to the Ravens. If Moss is able to suit up, Brown is a risky start even with his increased involvement and big-play ability, as he hasn't gotten much work at the goal line or as a pass catcher through five games."
Javonte Williams,Broncos,RB,6,"Javonte Williams is coming off his best performance of the season, topping 100 scrimmage yards for the first time in the Broncos' Week 5 win over the Raiders. The fourth year running back busted out for 138 rushing yards and 4.8 yards per carry over the last two games while adding seven grabs for 53 yards on nine targets as a pass-catcher, solidifying his spot at the top of the RB depth chart. Williams is still seeking his first touchdown of 2024, but as the Denver offense improves around him, he should get opportunities to find the end zone. He'll face a stingy Chargers run defense in Week 6 that ranks in the top five in yards per carry allowed and rushing yards per game allowed."
George Pickens,Steelers,WR,6,"George Pickens remains Pittsburgh's top pass-catching option, collecting at least seven targets in four of five games this season. That hasn't led to consistent fantasy results, as he's been held below 50 receiving yards twice and has still yet to reach the end zone. A Week 6 matchup against the Raiders does create an opportunity for Pickens to perform well, as they have allowed two wide receivers to reach 20 points this season. Pickens is a comfortable WR3/FLEX option, but he has wide variance in both directions."
Brian Thomas Jr.,Jaguars,WR,6,"Brian Thomas leads the Jaguars in every major receiving category heading into a Week 6 meeting with the Bears in London. The rookie first-round pick had a career-high 122 receiving yards in the Week 5 win over the Colts and scored his third TD in five NFL games. Chicago will likely offer more resistance, as the Bears have limited WRs to one TD in 2024, but Thomas is a WR2 even in this challenging matchup."
Younghoe Koo,Falcons,K,6,"Younghoe Koo will look to continue his recent string of strong kicking performances Week 6 against the Panthers. The last three weeks, Koo is 8-for-10 from beyond 40 yards, including five 50-plus conversions, and a 7-for-7 on extra-point tries. He was three of five on field-goal attempts last week, but one was blocked, a 54-yarder. He also hit a 52-yard field goal to send the game to overtime. The Panthers allow the seventh-most fantasy points per game to kickers this season."
Justin Tucker,Ravens,K,6,"Justin Tucker answered questions about his ability to convert field goals from distance by knocking through a 56-yard field goal late in the fourth quarter of Baltimore's Week 5 win over the Bengals. The performance also marked the first time since Week 2 that he's made multiple field goals. Tucker's name value outweighs his production heading into a Week 6 matchup against the Commanders, a defense that has allowed only eight field-goal attempts through five games on the campaign."
DeVonta Smith,Eagles,WR,6,"DeVonta Smith will have the benefit of the bye week to see if he can return to the field for a Week 6 clash with the Cleveland Browns. Philadelphia's passing attack looked lifeless without either Smith or A.J. Brown in an ugly 33-16 loss to the Bucs prior to the bye. However, even if Smith can suit up, success is far from guaranteed. Cleveland is allowing just 184.4 passing yards per outing, which is eighth in the league."
Jake Bates,Lions,K,6,"Jake Bates will hope to be more involved as the Lions face off against the Cowboys in Week 6. The starting kicker has now gone back-to-back games without a single field-goal attempt, though he's converted eight of nine PATs in that span. In the Lions' first two games of the season, Bates converted all five of his field-goal tries and was perfect on three PATs, but neither of the team's last two games have put him in position to handle much action. He'll hope for a less quiet day on the road in Dallas."
Austin Seibert,Commanders,K,6,"Austin Seibert has been one of the chief beneficiaries of Washington's offensive explosion of late. The Commanders are averaging 38 points over the last three games, with Seibert booting 13 extra-points over that span. He has also connected on five field goals during that time period as well, including two this past Sunday against the Browns. In Week 6, the Commanders will face a Ravens squad that has been far more suspect defensively than usual. Baltimore is allowing 25.2 points per tilt, which is 26th in the league."
Wan'Dale Robinson,Giants,WR,6,"Wan'Dale Robinson continues to operate as the safety valve for quarterback Daniel Jones and the New York Giants. Robinson snagged six passes for 36 yards and a touchdown in Sunday's surprising 29-20 win over the Seattle Seahawks. Robinson has drawn at least eight targets in four of five games this season for the G-Men. In Week 6, the Giants will clash with a subpar Bengals defense. Cincinnati has been mediocre at best against the pass in 2024, allowing 214 yards per clash through the air, which is 19th in the NFL. The Bengals have also allowed 10 passing touchdowns already this season, which is tied for 28th in the league."
Ka'imi Fairbairn,Texans,K,6,"Ka'imi Fairbairn has connected on 11 of 12 field-goal attempts heading into the Texans' Week 6 road game against the Patriots. He has been one of the top kickers in the league, and Fairbairn beat the Bills at the buzzer with a 59-yard field goal to secure a 23-20 Week 5 win. The Patriots are allowing only 20.4 points per game, but a talented Texans offense shouldn't have too many problems moving the ball and will likely continue to create plentiful opportunities for Fairbairn, even if Houston's without Nico Collins (hamstring). Keep starting Fairbairn if you have him."
Brandon Aubrey,Cowboys,K,6,"Brandon Aubrey has attempted more field goals than any other kicker in the NFL through five games. While Aubrey has failed on two kicks over the last two games, he has still made at least two field goals in each of the first five contests for the Cowboys. He has also yet to miss an extra point. In Week 6, Aubrey and company will face a Detroit squad allowing 20.5 points per contest, which is 10th in the NFL."
Chase McLaughlin,Buccaneers,K,6,"Chase McLaughlin converted all three of his extra point attempts, and he went 3-for-3 on his field goal attempts, as well. McLaughlin has been impressive this season, making all of his field goal attempts so far, including going 5-for-5 on attempts of 50 or more yards. McLaughlin will look to continue his strong start to the 2024 season in a Week 6 matchup against New Orleans. The Saints indoor stadium is a favorable kicking environment, though New Orleans' defense has allowed just 17.5 points per game this season, seventh best in the league."
Jerome Ford,Browns,RB,6,"Even with Nick Chubb (knee) sidelined, Jerome Ford has failed to take hold of Cleveland's backfield. He's gathered 13 or fewer total touches in three of the team's last four games, though his Week 5 performance against the Commanders was the first time Ford has been held under 50 total yards from scrimmage. A Week 6 matchup against the Eagles should offer him solid opportunity as both a rusher and receiver -- the Eagles have allowed 5.13 yards per carry, the third-highest mark in the league -- but the ineptitude of the Cleveland offense combined with Ford's uncertain volume make him an unreliable option."
Chris Boswell,Steelers,K,6,"Chris Boswell has made 12 of his 13 field-goal attempts for the Steelers this season, though he has only one field-goal attempt in Wee 4 and Week 5. A Week 6 matchup against the Raiders could provide a bounce back opportunity for as Las Vegas has allowed the fifth-most field goal attempts to opponents this season. Overall, Boswell should be considered as a starting option due to his accuracy, but he does carry risk due to Pittsburgh's conservative and often ineffective offense."
Cairo Santos,Bears,K,6,"Cairo Santos will look to remain steady as the Bears travel to London for a Week 6 contest against the Jaguars. The veteran kicker has now been limited to one field-goal conversion in three straight contests, and in Week 5's win over Carolina he missed one of four PATs. On the year, Santos has converted eight of nine field-goal tries and nine of 10 extra-point attempts. His production has been somewhat unpredictable due to Chicago's inconsistent offense, but Caleb Williams has looked more poised as of late and will have a chance to truly find his footing against Jacksonville's unimpressive secondary."
Jake Elliott,Eagles,K,6,"Jake Elliott has failed to see many opportunities thus far in 2024 as the Eagles offense has struggled. Elliott has attempted just five field goals in four games. Philadelphia could get either A.J. Brown or DeVonta Smith, or both, back in Week 6 versus the Browns, which should provide a jolt to the offense. Cleveland is allowing 24.2 points per contest, which is 23rd in the NFL."
Evan McPherson,Bengals,K,6,"Evan McPherson missed his lone field-goal attempt in Week 5, though it was the result of a botched hold. Nevertheless, he's had an inconsistent start to the season, including either a missed extra point or field goal in three of Cincinnati's last four games. On the other hand, he's also converted multiple field goals on three occasions, making him a decent kicking option in a Week 6 matchup against the Giants."
Michael Pittman Jr.,Colts,WR,6,"Michael Pittman has posted 40 or more receiving yards only once through the Colts' first five games heading into a Week 6 trip to Tennessee. Indianapolis' entire passing game would have a higher ceiling in Week 6 if Joe Flacco continues to fill in for Anthony Richardson (oblique) at QB, as Flacco threw for 359 yards and three TDs, including one to Pittman, while making a spot start against the Jaguars in Week 5. Pittman will likely see a heavy dose of shutdown Titans cornerback L'Jarius Sneed, so Pittman's more of a WR3/flex play for fantasy purposes in Week 6, even if Flacco gets another start."
Rashid Shaheed,Saints,WR,6,"Rashid Shaheed led the Saints in targets, catching four of his nine targets for 86 yards and a touchdown in Week 5. Shaheed showed off his ability as a deep threat with his 43 yard touchdown reception, his third of the season. Though Shaheed might have some inconsistency due to his high average depth of target, he still gets plenty of opportunities and leads the Saints in targets this season. As long as Derek Carr is available to start after suffering an oblique injury. Shaheed and the Saints have a solid matchup against a struggling Tampa Bay passing defense in Week 6. The Buccaneers have allowed 258 passing yards per game this season, ranking 28th in the league."
Matthew Wright,49ers,K,6,"The 49ers signed Matthew Wright earlier in the week, and he will serve as the team's starting kicker in Week 6. For the next few weeks, Wright will replace Jake Moody, who suffered a high-ankle sprain. In the past four seasons, Wright has converted 85 percent of his field goals, with a career long of 59 yards. In Week 6, San Francisco faces off against the Seahawks. Seattle's defense has allowed 22.8 points per game this season, ranking 18th in the league."
Jameson Williams,Lions,WR,6,"Jameson Williams will look to continue putting together a verifiable breakout campaign as the Lions take on the Cowboys in Week 6. Despite drawing just two targets versus the Seahawks in Week 4, Williams led Detroit with 80 receiving yards (and one touchdown) while securing both of his looks from quarterback Jared Goff. The 2022 first-round pick has definitively demonstrated the electric playmaking ability that convinced the Lions to draft him 12th overall three years ago, with over 70 receiving yards in three of four games on the season, plus two touchdowns in that span. Still, Williams has shown a true boom-or-bust floor, as displayed Week 3 against the Cardinals when he logged just one three-yard catch plus one rush for minus seven yards. Williams has just five targets combined in Detroit's last two games, after having been targeted 20 times in the team's first two games of the season. Coming out of the bye, Williams will look to display better consistency versus Dallas."
Tank Bigsby,Jaguars,RB,6,"Tank Bigsby has broken out for 191 rushing yards and two TDs on 20 carries in Weeks 4 and 5, and he was on the field for one more snap than Travis Etienne in Jacksonville's Week 5 win over the Colts. Backfield timeshares are fantasy kryptonite, and Etienne is the superior pass catching back, but Bigsby will be a popular waiver wire add where available ahead of Jacksonville's Week 6 game against the Bears and can be deployed as a fantasy RB2 considering he's averaging 8.0 yards per carry on 34 attempts in 2024 after plodding to 2.6 yards per carry on 50 rushes as a rookie last season. Chicago's six rushing TDs allowed to RBs are tied for third-most in the NFL."
Gabe Davis,Jaguars,WR,6,"Gabe Davis is a distant No. 3 on Jacksonville's WR depth chart, having caught only 12 of 25 targets for 159 yards through five games with the team. He's unlikely to turn things around in Week 6, as Davis is questionable due to a knee injury against a Bears defense that has allowed only one TD to a WR this season, so Davis is no better than a reserve for fantasy purposes. Brian Thomas and Christian Kirk should continue to account for the majority of the Jaguars' production at the position, and Davis will face further competition for targets if the Jaguars get TE Evan Engram (hamstring) back after a four-game absence."
Eric Gray,Giants,RB,6,"Eric Gray likely ruined any chance of becoming the featured back for the New York Giants with a catastrophic fumble this past Sunday. Gray had the first crack at goal line touches for the Giants with Devin Singletary injured, but fumbled the ball, resulting in a 101-yard fumble return for a touchdown by the Seahawks. New York would go on to win the game, but Gray took a backseat to rookie Tyrone Tracy thereafter, as the latter rushed for 129 yards on 18 carries in the 29-20 win. Gray did catch three passes for 50 yards out of the backfield, but should remain firmly behind both Singletary and Tracy in Week 6 versus the Bengals. Cincy is allowing 151.4 yards per clash on the ground, which is 30th in the NFL, but barring an injury to Tracy, Gray is unlikely to see many carries."
Sam LaPorta,Lions,TE,6,"Sam LaPorta could be poised for his 2024 breakout versus the Cowboys in Week 6, with the Lions coming off a bye. Though the second-year pro, who scored 10 touchdowns as a rookie, has been held out of the end zone thus far this season, he quietly logged a solid game against Seattle in Week 4, securing all four of his targets for 53 yards. Only one of those looks was in the red zone, within 20 yards, and LaPorta's only target inside the 10-yard line came Week 1. Still, LaPorta is coming off his best game of the season in terms of receiving yards, finishing second on the team in terms of both that category and receptions. Offensive coordinator Ben Johnson figures to put his early-season bye to use, so more consistency for LaPorta, and Detroit's passing production as a whole, may arrive without further delay."
Dontayvion Wicks,Packers,WR,6,"Dontayvion Wicks will look to bounce back as the Packers host the Cardinals at home in Week 6. Despite drawing seven targets during Green Bay's 24-19 win over the Rams, Wicks finished with just two catches for 20 yards, demonstrating difficulty getting on the same page with quarterback Jordan Love, especially in deeper areas of the field. Those hiccups were also present Week 4, when Wicks reeled in just five of 13 targets, but he was able to translate those catches into 78 yards and two scores versus Minnesota. With Christian Watson (ankle) expected to remain sidelined Week 6, Wicks will get another chance to start in three-wide sets, even though Romeo Doubs figures to return from his one-game suspension. Wicks will hope to better demonstrate chemistry with Love against Arizona."
Christian Watson,Packers,WR,6,"Christian Watson's ankle injury will likely keep him sidelined during Green Bay's game against the Cardinals in Week 6. Though the third-year pro isn't expected to be placed on IR due to the high left-ankle sprain he sustained Week 4 against Minnesota, the Packers are reportedly bracing for Watson to require a multi-week absence. His realistic targets for retaking the field may be Week 7 against the Texans or Week 8 at Jacksonville. In the meantime, Romeo Doubs figures to return from his one-game suspension and join Jayden Reed and Dontayvion Wicks in three-wide sets versus Arizona."
Tucker Kraft,Packers,TE,6,"Tucker Kraft will look to continue his breakout streak as Green Bay prepares to host Arizona in Week 6. The second-year tight end logged a 5-88-2 receiving line during the Packers' 24-19 win over the Rams in Week 5, giving him three touchdowns in his last two appearances. Even with Luke Musgrave available, Kraft has now handled 80-plus percent of offensive snaps in back-to-back games, demonstrating a solidified role as one of Green Bay's young pillars on offense. The Packers' passing attack will return Rome Doubs from a one-game suspension versus the Cardinals but still be without Christian Watson (ankle), leaving Kraft once again positioned for an increased opportunity share."
David Njoku,Browns,TE,6,"After missing three straight weeks with a high-ankle sprain, David Njoku suited up for the Browns in Week 5, but he mustered only 25 snaps before leaving with a knee injury. Njoku was unable to return, ending his day with one grab on three targets for 14 yards. Njoku is questionable for Week 6's road date with the Eagles, and even if he plays, he's a risk to lose workload to Jordan Akins."
Jaleel McLaughlin,Broncos,RB,6,"Jaleel McLaughlin continues to struggle, managing only 25 yards from scrimmage in a Week 5 win over the Raiders. While he did score his second touchdown of the season on a four-yard toss from Bo Nix, the second-year RB remains firmly behind Javonte Williams in the Broncos' backfield. McLaughlin has a poor 3.3 yards per carry on the season, more than two yards per carry below his performance as a rookie. He's unlikely to break out in Week 6 against a Chargers run defense that ranks in the top five in yards per carry allowed and rushing yards per game allowed."
Justice Hill,Ravens,RB,6,"Justice Hill has flashed strong production as a pass catcher at points during the season as the change-of-pace back in Baltimore. The problem is that he's produced unpredictably, making it difficult to trust him on a weekly basis as he has seven or fewer touches in all but one game this season. There should be better starting options heading into a Week 6 matchup against the Commanders."
Zach Ertz,Commanders,TE,6,"Zach Ertz was targeted eight times last game for Washington, tying with Terry McLaurin for the team lead. Unfortunately, Ertz was only able to bring in two of those passes for a total of 10 yards. Ertz has topped 50 yards receiving just once through five contests. In Week 6, Washington will face a Ravens defense that has been destroyed through the air. Baltimore is allowing an average of 280.2 passing yards per tilt, which is 31st in the NFL. In addition, the Ravens have allowed nine throwing scores, which is tied for 25th in the NFL. Last game, the Ravens surrendered 392 passing yards and five touchdowns through the air to Cincy quarterback Joe Burrow."
Keenan Allen,Bears,WR,6,"Keenan Allen will get another opportunity to continue building chemistry with QB Caleb Williams as the Bears head into a Week 6 international matchup against the Jaguars. The veteran wideout drew six targets during Chicago's win over Carolina in Week 5, but he finished with just three catches for 33 yards. DJ Moore stole headlines with his 105-yard, two-TD performance, but all of Cole Kmet, D'Andre Swift and Rome Odunze also finished ahead of Allen in terms of receiving yardage. The veteran has only been back in action for two games, though, so a slow start isn't necessarily unsurprising. He'll have a solid chance to bounce back in London against a Jacksonville defense that just allowed 359 passing yards to Joe Flacco and the Colts."
Allen Lazard,Jets,WR,6,"Allen Lazard is coming off a Week 5 effort where he scored for the fourth time in five outings while gathering a season-high 10 targets. Week 5 marked the third time where Lazard has garnered at least eight opportunities, but he's been touchdown dependent, topping 60 receiving yards just once. While Allen has QB Aaron Rodgers' trust, a Week 6 matchup against a Bills defense that's allowed just six touchdown passes in five games lands Lazard in WR3 territory."
Quentin Johnston,Chargers,WR,6,"Quentin Johnston comes out of the Chargers' bye with three touchdowns in four games, and he already has more TDs than he did in his entire rookie season in 2023. The 21st overall pick in that year's draft still isn't seeing big volume, managing only 11 catches for 142 yards on 18 targets, but he's already beginning to shed the bust label that clung to him in the offense. The Chargers' run-heavy scheme limits the upside of all its wideouts. but Johnston is earning Justin Herbert's trust with his nose for the end zone. He could have trouble making in impact in Week 6 against a Broncos secondary that's given up the second-fewest receiving yards per game in the league to WRs."
Dallas Goedert,Eagles,TE,6,"Dallas Goedert unsurprisingly led the depleted Eagles in receiving prior to their bye. Without the services of both A.J. Brown and DeVonta Smith, Goedert caught seven passes for 62 yards on eight targets, all team highs. Certainly, the return of one or both of the aforementioned playmakers would diminish Goedert's targets in Week 6 versus the Browns, but he should still remain a nice safety blanket for quarterback Jalen Hurts. The matchup is not ideal, though, as Philly will face a Cleveland pass defense surrendering 184.4 passing yards per contest, which is eighth in the NFL."
Jaylen Warren,Steelers,RB,6,"Jaylen Warren's frustrating season continued as he missed Pittsburgh's Week 5 matchup against the Cowboys with a knee injury. He failed to practice in any capacity, also placing his availability into question for a Week 6 contest against Las Vegas. Once Warren returns to full health, he has a strong case to have at least an even split in the backfield with Najee Harris due to the latter's inefficiency, making him a reasonable stash candidate."
Keon Coleman,Bills,WR,6,"Week 5 marked Coleman's third game with no more than one reception, though he's making the most of his eight catches with 19.4 yards per catch and two trips to the end zone. The Bills' rookie wideout has garnered at least a 64% snap share in four of his five outings, with 64% number coming in Week 5 with fellow WR Khalil Shakir sidelined by an ankle injury. Coleman will face a Jets defense in Week 6 that's surrendering only 161.2 passing yards per game with just two scoring strikes. At best, Coleman is a Week 6 flex dart, but only if Shakir remains on the shelf."
Dalton Kincaid,Bills,TE,6,"It's been an uninspiring start to the season for Buffalo's Dalton Kincaid, who brought in two catches on six Week 5 targets for 34 yards. Kincaid has found paydirt just one this season and faces a Jets defense in Week 6 that's surrendered only two passing touchdowns all year. Kincaid hasn't produced commensurate with his high draft pick, but with the tight end position being underwhelming so far, fantasy managers must stay the course."
Zach Charbonnet,Seahawks,RB,6,"Zach Charbonnet logged just two carries for 11 yards in Week 5. He was targeted four times in the passing game, finishing with three receptions for 19 yards. The Seahawks only had 11 carries as a team, and Charbonnet played in about a third of Seattle's offensive snaps. This is consistent with his usage this season with Kenneth Walker active. In Week 6, the Seahawks have a home game against the 49ers. San Francisco's run defense has allowed 111 rushing yards per game in 2024, ninth best in the league."
Dalton Schultz,Texans,TE,6,"Dalton Schultz had a season-high six targets and tied his season best with 34 receiving yards in the 23-20 Week 5 win over the Bills, and it's no coincidence that he garnered extra attention from Texans QB C.J. Stroud after top WR Nico Collins exited due to a hamstring injury. Schultz could continue to play a larger role in the passing game against the Patriots in Week 6, and he's capable of stepping up statistically, as evidenced by Schultz's averages of 659 receiving yards and 5.5 TDs per season from 2020-23. Despite the slow start, he'll be a borderline fantasy TE1 against a Patriots defense that has allowed the seventh-most yards per game to TEs this season."
Cade Otton,Buccaneers,TE,6,"Cade Otton caught three of his four targets for 44 yards in Week 5. Otton plays nearly all of Tampa Bay's offensive snaps, but he still generally plays a complementary role in the passing game to Chris Godwin and Mike Evans. Otton will look to score his first touchdown of the season in a Week 6 tilt against the Saints. New Orleans has the league's 24th ranked passing defense this season, allowing 234 passing yards per game. The Saints have allowed 53 yards per game to tight ends in 2024."
Rashod Bateman,Ravens,WR,6,"Rashod Bateman benefitted from a pass-heavy game script for the Ravens in Week 5 against the Bengals, posting a season-best eight targets, four receptions and 58 yards. However, he's managed to top 50 yards just twice this season. Even in a potentially high-scoring affair in a Week 6 matchup with the Commanders, Bateman is best left on the waiver wire or bench."
Tyler Conklin,Jets,TE,6,"As the Jets continue to throw more, Tyler Conklin's opportunities are trending upward. He saw only four targets through the first two weeks, but has seen 23 looks over the last three games, twice topping 54 yards. Conklin hasn't scored and faces a Bills defense in Week 6 that's allowed only six touchdown passes, but with the tight end position lacking depth, Conklin's volume makes him a strong start consideration in even the shallowest of formats."
Jamaal Williams,Saints,RB,6,"Jamaal Williams continued to play as a backup to Alvin Kamara Week 5. He had just two rushes for 9 yards while not earning any targets in the passing game. Williams' eight snaps played were his lowest of the season, and he doesn't have much standalone fantasy value so long as Kamara is healthy. In Week 6, New Orleans goes up against Tampa Bay. The Buccaneers run defense has allowed 120 rushing yards per game, ranking 16th in the league."
DJ Turner,Raiders,WR,6,"DJ Turner registered a career-high four targets in a Week 5 loss to the Broncos, but the third-year wideout caught only one for 12 yards. He's stepped into the No. 3 WR role with Davante Adams sidelined by a hamstring injury, but Adams is now on the trade block and his absence from the Raiders' offense could become permanent. Turner may also be working with a new quarterback, as Aidan O'Connell appears to be on the verge of replacing Gardner Minshew under center. No matter who's throwing him the ball, the Pitt product will be taking on a Steelers secondary in Week 6 that ranks in the top half of the league in catches and touchdowns allowed to WRs."
Jerry Jeudy,Browns,WR,6,"After an abysmal Week 5 showing in Cleveland's loss, Jerry Jeudy has been held under 30 yards in three of five games this season. The positive news is that he has a consistent role in the team's offense, commanding at least six targets in all but one contest. A Week 6 matchup against the weak Eagles' secondary -- they've allowed the fifth-most fantasy points per game to opposing wide receivers -- should keep Jeudy in the flex conversation, but he'll be a risky option until the Browns show some stability on offense."
